Unnamed: 0,Topic,Count,Name,Representation,Representative_Docs,GPT Label,Stage,Category,"Category (0 - Background, 1 - Oon before, 2 - Trigger, 3 - Oon after)",Label
18.0,52,440.0,52_step dad_told dad_step_even dad,"['step dad', 'told dad', 'step', 'even dad', 'divorce', 'dad said', 'dad would', 'dad told', 'dad thinks', 'divorced']","['She has threatened to divorce my dad after nearly 20 years of marriage because he expressed concern in her habits and behavior.', '(It at least makes me feel better that even my dad needed to see her freak out like this to realize how deep the manipulation went, and he was married to her for over 20 years before they divorced when I was in high school.', ""she also said she couldnt text about it, could only talk on the phone  wtf\n\ni texted my step dad saying i didn't appreciate her threatening me and to knock it off!"", 'I told my dad (her son) that she hasn’t had an original thought for a long time because my step-grandpa won’t let her.', 'I am afraid she will lose my step dad.']",Family Estrangement and Disconnection,3,Social Circle,3-Oon after-Social,Social Deterioration and Relationship Strain
19.0,53,437.0,53_weed_drugs_mental health_bipolar,"['weed', 'drugs', 'mental health', 'bipolar', 'depression', 'addict', 'drug', 'drinking', 'schizophrenia', 'alcohol']","[""This is the same man that grew weed in our house growing up because then Government can't tell him what to do."", 'Keep in mind this person was outgoing and rebellious as a kid but growing up and after making poor decisions, from smoking weed to then more hard drugs such as meth, they’ve became very different.', 'He has very strong anxiety and smokes a lot of weed.', 'Dmt, shrooms, weed, etc, should be stopped.', 'Also, he was not just on weed.']",Substance Use and Abuse,1,Substance Use,0-Background-Substance Use,Substance Use and Abuse
20.0,54,427.0,54_want kids_whole family_rest family_grandchild,"['want kids', 'whole family', 'rest family', 'grandchild', 'son', 'extended family', 'see kids', 'family members', 'much family', 'contact family']","[""I swear she quotes all of the speaker's she sees I agreed with her and said I didn't want my kids to grow up with that outlook."", 'When she asked what kind of things I said things like who you want your kids to go to and medical things like a DNR.', 'She is in deep and says her whole family is as well.', ""I've tried so hard to have a relationship with her for the sake of my kid, her own grandchild, because I know how much she loves him."", ""She's estranged to the whole family, and I'm basically the only link I have from her to the rest of the family.""]",Family Estrangement and Disconnection,3,Social Circle,3-Oon after-Social,Social Deterioration and Relationship Strain
22.0,56,405.0,56_arguments_arguing_argue_argument,"['arguments', 'arguing', 'argue', 'argument', 'debate', 'disagree', 'agree disagree', 'civil', 'debating', 'argued']","[""These weren't the only arguments we had about this, there was more."", ""We've had these arguments already."", ""We've never gotten into more arguments."", 'YOU TAKE ALL MY ARGUMENTS!', ""Since then we've been fine, no arguments or anything at all.""]",Communication Tension and Breakdown,3,Behavior/action,3-Oon after-Behavior/action,Social Deterioration and Relationship Strain
30.0,73,329.0,73_youtube_algorithm_podcast_youtube videos,"['youtube', 'algorithm', 'podcast', 'youtube videos', 'channel', 'algorithms', 'youtube com', 'youtube video', 'https', 'videos articles']","['  \n\nHello everyone,\n\nmy Name is Adrian and I am a journalist, working for the german television broadcast SPIEGEL TV MAGAZIN (Our YT-Channel: [https://www.youtube.com/user/spiegeltv](https://www.youtube.com/user/spiegeltv)).', 'Another interesting video I found on youtube is this one: [https://www.youtube.com/watch?v=NPHwO\\_sVSAQ](https://www.youtube.com/watch?v=NPHwO_sVSAQ).', 'I didn’t click on the YouTube video he sent because I didn’t want the algorithm to think I was interested in that.', 'But a lot comes from YouTube.', 'His youtube algorithm is nothing but this stuff.']",YouTube Algorithms,2,Social Media,2-Trigger-Social Media,YouTube Algorithms
32.0,78,311.0,78_pandemic_pandemic started_pandemic hit_since pandemic,"['pandemic', 'pandemic started', 'pandemic hit', 'since pandemic', 'start pandemic', 'hit', 'pandemic really', 'pandemic began', 'beginning pandemic', 'got worse']","[""I'm frigging sick of this pandemic."", 'I hate what this pandemic has done to my kids’ lives.', 'And then the pandemic happened.', ""With the pandemic, it's been worse."", 'All well before the pandemic.']",COVID-19 Lockdowns,2,Pandemic,2-Trigger-Pandemic,COVID-19 Lockdowns
328.0,327,75.0,327_covid_since covid_covid started_covid hoax,"['covid', 'since covid', 'covid started', 'covid hoax', 'conspiracy theories', 'covid conspiracy', 'theories', 'organic', 'father always', 'hoax']","['So my parents have been conspiracy theorists since covid began.', ""My father is prone to conspiracies but I've noticed its started getting worse since covid started and my mother went all in."", ""So Let me catch everyone up to speed\n\n&#x200B;\n\nIn 2015-6 my dad has started researching Aliens and falling down the David Wilcox, and Corry Good hole which then evolved in to him going full on Q and becoming very violent when you go against his will to the point he nearly cost my job in 2017 that I just started that lead to him being charged with assault after giving me a concussion and leaving me bloody at home\n\n&#x200B;\n\nIn 2018 his son felt i should of moved in with both of them which lead to me being forced to watch his dad's youtube stream with nothing but conspriacy videos from various youtubers before they were deplatformed and moved to the 3rd party video hosters... that ended peacefully when they decided to move to colorado and I stayed in my home town for my career....\n\n&#x200B;\n\nin October 2021 he found his son dead because he died due to covid and his son refused hospital treatment due to him absorbing his dads view points on Covid; his dad being so out of touch convinced him and other people he was following online that the hospitals in colorado springs were getting paid to kill people with covid...\n\n&#x200B;\n\nNow after having to take sole custody and him getting the police called on him 4 times due to his actions he is getting angry to the point of screaming at his cats because i personally have my door shut to calm down because im frustrated to the point we have all this food he doesn't eat; organic canned soup, organic ramen, frozen spaghetti; because he claims we don't have enough food and we should drop and spend 200+ on organic food because his sites say the government will shut down (4th + year in him saying this) he also insists on me buying Zims and XRP crypto based on the Gesara and Nesara conspiracy... he has gotten violent against me and both or names are on the lease of the apartment; i know he needs mental help badly but isn't getting treated for it and is only thinking everyone else is at fault because we get upset because literally he could watch 1 video saying for example taylor swift was in gitmo....when she sold out the football arena in town 2 nights in a row....my dad has completely lost it and i can't keep supporting him\n\n&#x200B;""]",COVID-19 Lockdowns,2,Pandemic,2-Trigger-Pandemic,COVID-19 Lockdowns
34.0,83,303.0,83_retirement_lost job_fired_business,"['retirement', 'lost job', 'fired', 'business', 'company', 'works', 'get job', 'retired', 'jobs', 'unemployed']","['He hasnt lost his job yet, but it may happen.', 'Once he got to the U.S he worked a few odd jobs and started his own business.', 'They are maxed again and he is running out of retirement.', ""He's a man nearing retirement age with a family."", 'He, the fucker, who’s close to retirement age anyway.']",(Un)employment and Retirement Status,1,Job,0-Background-Job,(Un)employment and Retirement Status
35.0,86,295.0,86_sources_article_articles_source,"['sources', 'article', 'articles', 'source', 'credible', 'reliable', 'proof', 'send', 'fake news', 'google']","[""I've sent her so many sources counteracting her and my uncle's claims."", 'I easily found multiple articles for each of her sources that debunked the information claimed and showed why these sources were not credible.', 'I asked her what sources she would trust.', 'I ask for sources and there is never any real source to back up the claims, but I ""have to understand, she is getting this information from credible sources.""', 'She won\'t listen to any fact, only these ""sources"".']",Rejecting Verified Sources and Clinging to Unverified Information,3,Behavior/action,3-Oon after-Behavior/action,Epistemic Rigidity and Distrust in Expertise
36.0,91,279.0,91_gates_bill gates_bill_5g,"['gates', 'bill gates', 'bill', '5g', 'microchips', 'microchip', 'dna', 'vaccines', 'kill', 'population']","['* Bill Gates - eugenics, decreasing the population, and vaccines\n* Globalism/NWO - George Soros, the Rockefellers, Jeff Bezos, Bill Gates, Klaus Schwabb, etc.', ""And it was Bill Gates' company."", 'And of course the 5G, Covid, and Bill Gates conspiracies make sense to them.', 'Bill Gates is trying to implant microchips.', ""I honestly still don't understand the Bill Gates thing.""]",Bill Gates,3,Conspiracist Beliefs,3-Oon after-Belief,Defamatory Conspiracy Targeting Public Figures
37.0,92,276.0,92_red_texas_florida_area,"['red', 'texas', 'florida', 'area', 'rural', 'town', 'county', 'city', 'states', 'blue']","['We live in a red state.', ""We're also in a red state."", 'Still, he is deep in a red state.', 'We are from a very small rural red town.', 'I live in a very red area.']",Conservative Political Identity,1,Political,0-Background-Political region,Conservative Political Identity
38.0,99,258.0,99_racist_white_black_black people,"['racist', 'white', 'black', 'black people', 'racism', 'race', 'racial', 'white supremacists', 'supremacists', 'white people']","['He told me not to be racist.', 'That Trump is not now, nor has he ever been racist.', 'He is racist and he knows it.', 'It made him more racist.', 'He’s been doing this and making racist stereotypes.']",Racism Attitudes,3,Behavior/action,3-Oon after-Behavior/action,Radical Ideological Alignment and Intolerance
40.0,102,251.0,102_stolen_election stolen_fraud_election fraud,"['stolen', 'election stolen', 'fraud', 'election fraud', 'rigged', 'voter fraud', 'voter', 'election rigged', 'stolen election', 'believes election']","['He said the election was stolen.', 'Thinks the election was stolen.', 'He thinks their election was stolen and is always angry.', 'They now believe the election was stolen.', 'They dont believe the election was stolen.']",Election Fraud,3,Conspiracist Beliefs,3-Oon after-Belief,Anti-Government and Institutional Distrust
45.0,110,239.0,110_storm_fires_weather_fire,"['storm', 'fires', 'weather', 'fire', 'snow', 'smoke', 'warm', 'burning', 'fuel', 'burn']","['So...what exactly is The Storm, then?', 'But what happens after ""the storm""?', 'And the fires in Hawaii?', 'Ok, I didn’t actually storm.', 'Do I just weather the storm?']","The Cabal and ""The Storm""",3,Conspiracist Beliefs,3-Oon after-Belief,Apocalyptic and Eschatological Narratives
46.0,111,238.0,111_doctors_beds_medical_med beds,"['doctors', 'beds', 'medical', 'med beds', 'med', 'medicine', 'doctor', 'pharma', 'big pharma', 'medbeds']","['I have seen doctors misdiagnose.', 'As they have made me petrified of doctors.', 'They put us off saying they needed to talk to their doctors.', ""But the doctors haven't found a cause?"", 'Most are *doctorates*, not medical doctors.']",Distrust in Medical Professionals,3,Behavior/action,3-Oon after-Behavior/action,Public Health Mistrust and Resistance
48.0,115,220.0,115_trump supporter_supporter_politics_2016,"['trump supporter', 'supporter', 'politics', '2016', 'trump supporters', 'dad said', 'supporters', 'trumper', 'since 2016', 'voted']","['I live in australia and my dad is a Trump supporter and has been since 2016 since then he had been watching Alex Jones, Fox News and some youtube’s supporting Trump.', 'My (F32) dad has always been a Trump supporter.', 'My dad is a Trump supporter.', '\n\nMy dad is very much a trump supporter.', 'My dad has been a Trump supporter for a while now.']",Conservative Political Identity,1,Political,0-Background-Political leaning,Conservative Political Identity
49.0,117,217.0,117_2021_march_date_2016,"['2021', 'march', 'date', '2016', 'jan', 'january', '6th', 'october', 'february', 'august']","['That was in August 2021.', ""2021 hasn't been kind to me at all."", 'I cannot find a consecutive 3 days without any quarrel in 2021.', 'Back in the begging of 2021, we were talking about the election, Jan. 6th, etc.', 'but jan 6th on 2021 is what changed me completely for some reason.']",COVID-19 Lockdowns,2,Pandemic,2-Trigger-Pandemic,COVID-19 Lockdowns
50.0,119,213.0,119_satanic_satan_satanist_satanists,"['satanic', 'satan', 'satanist', 'satanists', 'worshipping', 'hollywood', 'devil', 'pedophiles', 'panic', 'satanism']","['He even posted the other day that everyone who is and voted for Democrats is a Satanic Pedophile.', 'My brother was once just a light Q in 2020 talking about Hollywood Satanic rituals.', '!” And “Why the hell do you want to do this satanic major”.', 'Demons in inanimate objects, satanic music, satanic words, satanic rituals.', 'Believes in satanic paedophile rituals etc.']",Child Sex Trafficking and Satanic Sacrifice,3,Conspiracist Beliefs,3-Oon after-Belief,Child Harm and Elite Abuse Narratives
52.0,122,210.0,122_sheep_sheeple_black_brainwashed,"['sheep', 'sheeple', 'black', 'brainwashed', 'wake', 'calling', 'calls', 'called stupid', 'eyes', 'blindly']","['So my dad critizes me for my being a sheep.', ""Will they tell him that he's stupid, he doesn't understand, he's wrong, he's a sheep, he's an embarrassment?"", 'That I was a sheep.', 'He is now left to the sheep.', 'I, once again, am a beta man and sheep.']",Framing Others as Indoctrinated,3,Behavior/action,3-Oon after-Behavior/action,Interpersonal Harm and Moral Disregard
55.0,129,204.0,129_maga_ultra_movement_die hard,"['maga', 'ultra', 'movement', 'die hard', 'branch', 'im tired', 'cult', 'hate filled', 'surrounded', 'sa']","['My husband is MAGA and Q..basically the same thing to me.', 'In the name of MAGA.', 'I can’t deal with his transformation to a MAGA.', 'Now he is full MAGA.', 'So what about Trump and maga is so different than that?']",MAGA,3,Other Beliefs,3-Oon after-Belief,Pro-Trump
57.0,133,192.0,133_journalists_fake news_mainstream_mainstream media,"['journalists', 'fake news', 'mainstream', 'mainstream media', 'news sources', 'bias', 'fake', 'sources', 'outlets', 'journalism']","['It\'s all ""fake news"".... ... ... ... ... ... ... ... really?', 'I understand mainstream media is not perfect and of course they have their own bias they make mistakes they even lie sometimes but atleast I know there mostly credible, studied journalists and don’t want to ruin reputation.', '""How can you know when you only read ""fake news"" and the mainstream media and what ""they"" want you to read"" - ""because I don\'t.', 'No mainstream media can be trusted?', ""Don't listen to the mainstream media.""]",Distrust in Mainstream Media,3,Behavior/action,3-Oon after-Behavior/action,Alternative Media Use and Information Exposure
58.0,134,192.0,134_talk anymore_speak anymore_even talk_avoiding,"['talk anymore', 'speak anymore', 'even talk', 'avoiding', 'talk really', 'talk know', 'talk anything', 'interacting', 'really nothing', 'able talk']","['I cant talk to any of them anymore.', 'None of them will speak to me anymore.', 'I hardly speak to them anymore.', 'I don’t speak with them anymore.', ""And I can't take being in the same room as them when they talk about it anymore.""]",Communication Tension and Breakdown,3,Social Circle,3-Oon after-Social,Social Deterioration and Relationship Strain
59.0,135,191.0,135_fox_tucker_fox news_carlson,"['fox', 'tucker', 'fox news', 'carlson', 'tucker carlson', 'alex jones', 'alex', 'jones', 'newsmax', 'watches']","[""The only thing she even watches is Fox News and she's a HUGE fan of Tucker Carlson, but I imagine she follows up with a bunch of crazy nonsense on Facebook."", 'Showed her Tucker Carlson specials.', 'She watches Tucker Carlson and the Five, and sometimes just watches Fox all day.', 'She actually didn’t watch Fox News for some time after they booted Tucker Carlson but she is watching and listening to Fox News now.', 'She sent several Fox News videos of Tucker Carlson, Sean Hannity, and Laura Ingraham.']",Tucker Carlson,2,Influencers,2-Trigger-Influencers,Tucker Carlson
61.0,144,182.0,144_cancer_diagnosed_stage_cure cancer,"['cancer', 'diagnosed', 'stage', 'cure cancer', 'treatment', 'lung', '26', 'cure', 'survivor', 'passed away']","['Mom is at risk with having had cancer.', ""Even if cancer risk wasn't part of the equation, we need sunscreen."", 'So some years ago I was in the hospital with cancer.', 'You brought this cancer into our home.', ""So my sister's friend has breast cancer.""]",Physical Health Disorders,1,Health,0-Background-Health,Physical Health Disorders
63.0,146,181.0,146_elected_season_2020 election_got elected,"['elected', 'season', '2020 election', 'got elected', 'got worse', 'gotten worse', 'trump got elected', 'presidential election', '2016 election', '2016']","['Fast forward to the 2016 election.', 'Even all of those years ago when Trump got elected, you could just feel like something bigger was coming down the line.', ""It's gotten way worse since Trump got elected."", 'but when trump got elected it just got so much worse.', 'Sometime after Trump got elected, everything got worse.']",Trump's Election,2,Election,2-Trigger-Election,Trump's Election
65.0,153,169.0,153_bipolar_mental illness_illness_disorder,"['bipolar', 'mental illness', 'illness', 'disorder', 'mentally ill', 'psych', 'mental health', 'mentally', 'psychiatrist', 'ill']","[""She doesn't believe in mental illness, because she isn't well."", 'A few things about her: \n- Her mother had bipolar issues and she almost certainly suffers from some sort of mental illness, depression has been an issue for her in the past.', 'I also believe that she has undiagnosed bipolar disorder or borderline personality disorder.', ""Despite being diagnosed as bipolar, she says she's not now."", 'The doctors have tried different medication “cocktails.”  She is suffering from depression, anxiety and was diagnosed with bipolar disorder at a psych ward.']",Mental Health Disorders,1,Mental State,0-Background-Mental State,Mental Health Disorders
157.0,419,167.0,156_empathy_compassion_compassionate_empathetic,"['empathy', 'compassion', 'compassionate', 'empathetic', 'empathize', 'nice', 'kindness', 'understanding', 'lack', 'sympathy']","['He does not show compassion love or empathy and that is my fault he says.', 'love and compassion and empathy for fucking everyone.', 'But, with what he says and does I just can’t have any compassion or empathy for him at this point.']",Loss of Compassion and Empathy,3,Behavior/action,3-Oon after-Behavior/action,Interpersonal Harm and Moral Disregard
70.0,161,155.0,161_evidence_misinformation_proof_claims,"['evidence', 'misinformation', 'proof', 'claims', 'sources', 'proven', 'proven wrong', 'claim', 'facts', 'prove']","['It was about the misinformation.', 'What is anecdotal evidence and what makes this type of evidence weak?', ""But there's absolutely *no* evidence at all to support this claim."", 'Evidence doesn’t seem to do much.', ""It, doesn't matter what my evidence was or where it came from.""]",Rejecting Verified Sources and Clinging to Unverified Information,3,Behavior/action,3-Oon after-Behavior/action,Epistemic Rigidity and Distrust in Expertise
72.0,164,154.0,164_gold_silver_currency_bank,"['gold', 'silver', 'currency', 'bank', 'banks', 'buying', 'crypto', 'market', 'collapse', 'dollars']","[""She's been buying little tiny gold bars off the internet for a few years now with her savings and getting silver from a local coin dealer..."", ""She said she's 'excited' for the days to come, because the Vatican has been raided and all the gold has been captured and America will no longer be on a system of currency, but live on a system of gold."", 'She has also spent over 1k on buying silver after these qanon group chats said silver would be worth far more than gold.', 'She dragged me to the gold and silver store that featured ACTUAL SILVER COINS WITH HIS FUCKING HEAD ON THEM.', ""Because of this, she's convinced gold and silver will take over as the primary currencies of the world.""]",Precious Metals Investment,3,Behavior/action,3-Oon after-Behavior/action,Lifestyle Changes Driven by Conspiratorial Beliefs
73.0,169,152.0,169_communist_communism_socialist_socialism,"['communist', 'communism', 'socialist', 'socialism', 'communists', 'revolution', 'democratic', 'democrat', 'america', 'labeled']","[""That's what communism is now?"", 'He just talked to me for 3 hours about communism and the above.', 'So they hate communism right?', 'Your belief and your hate for Trump or enough for you to watch your Country turn socialist and then communist as every country in the world that was ever socialist resulted in communism and watch your family go to concentration camps for their beliefs and not vaccination which are now bio weapons.', 'Socialism = Communism and Capitalism is the only way.']",Criticism towards Communism and Socialism,3,Other Beliefs,3-Oon after-Belief,Anti-Communism and Geopolitical Distrust
74.0,172,142.0,172_food_water_hoarding_stock,"['food', 'water', 'hoarding', 'stock', 'canned', 'prepper', 'foods', 'prepping', 'stocking', 'supplies']","['My conspiritual mother has been begging me to stock up on water, candles, blankets and canned food because this winter it is going to go down.', 'They are also hoarding canned foods and water which they consider ""prepping"".', 'Stock up on food and water.', 'Dehydrated food, flashlights and radios and chargers.', ""I'm not the one who is storing food.""]",Prepping and Hoarding Supplies,3,Behavior/action,3-Oon after-Behavior/action,Lifestyle Changes Driven by Conspiratorial Beliefs
77.0,175,139.0,175_pandemic_pandemic started_since pandemic_plandemic,"['pandemic', 'pandemic started', 'since pandemic', 'plandemic', 'beginning pandemic', 'pandemic hit', 'ever since', 'beginning', 'went deep', 'start pandemic']","['She always tells me this pandemic is all about the money.', 'She still calls the pandemic the ""scamdemic.""', 'And she calls the pandemic a ""pland-emic"".', 'It seemed that as the pandemic were on, she became more and more cemented in her views.', 'But the pandemic changed her.']",Pandemic Misinformation,3,Conspiracist Beliefs,3-Oon after-Belief,Medical Mistrust
80.0,178,137.0,178_5g_towers_radiation_cell,"['5g', 'towers', 'radiation', 'cell', 'bill gates', 'gates', 'phones', 'bill', 'brains', 'rubbish']","['She talks about 5g being dangerous.', 'Then he goes on to tell us how 5G is melting her brain and other crap.', '5G is bad and they will control all of you.', 'Is that a 5g thing?', 'It all started with 5G.']",5G Being Dangerous,3,Other Beliefs,3-Oon after-Belief,Science and Technology Mistrust
82.0,182,136.0,182_pandemic_since pandemic_beginning pandemic_pandemic started,"['pandemic', 'since pandemic', 'beginning pandemic', 'pandemic started', 'beginning', 'pandemic hit', 'pre', 'pandemic began', 'move back', 'start pandemic']","[""It's been a struggle since the pandemic started to keep a relationship with them, but pre-pandemic we were able to keep politics out and my son to have a great relationship with his grandpa."", 'My mom died at the beginning of the pandemic.', 'Thinking about leaving this family when this pandemic is over.', ""My mom wasn't the same ever since the pandemic."", 'Before the pandemic, my mother moved in with me.']",COVID-19 Lockdowns,2,Pandemic,2-Trigger-Pandemic,COVID-19 Lockdowns
83.0,183,135.0,183_freedom_war_constitution_freedoms,"['freedom', 'war', 'constitution', 'freedoms', 'amendment', 'policy', 'federal government', 'governments', 'allies', 'constitutional']","['They shriek about the constitution and how it’s in peril, yet are constitutionally illiterate.', ""You think we're in a war?"", 'We have to face the hate head on - and if that means war, it means war.', ""That's the beauty of freedom and independence."", 'But without that unease, there is no freedom.']","Invoking War, Freedom, and the Constitution",3,Other Beliefs,3-Oon after-Belief,War-Inducing Rhetoric
84.0,184,134.0,184_boundaries_boundary_setting_setting boundaries,"['boundaries', 'boundary', 'setting', 'setting boundaries', 'set boundary', 'set boundaries', 'respect boundaries', 'firm', 'respected', 'respect']","['Because they do not understand boundaries.', ""The boundaries aren't working so...."", 'And if they have any issue on my boundaries that I will set, that we will have a problem.', ""I guess boundaries don't really mean anything to these people."", 'Do my boundaries seem okay?']",Pushback Against Boundaries,3,Behavior/action,3-Oon after-Behavior/action,Social Deterioration and Relationship Strain
85.0,186,134.0,186_believes things_believe things_want believe_told believe,"['believes things', 'believe things', 'want believe', 'told believe', 'believe stuff', 'even said', 'still believes', 'believe told', 'saying believe', 'know believes']","['She believes these things without question.', ""And it's from the same woman that somehow believes all these things simultaneously somehow."", 'She believes some of the things but not all of them.', 'I’m literally astonished she believes these things.', 'She believes in those things... Out of desperation.']",Uncritical Acceptance of Beliefs and Theories,3,Behavior/action,3-Oon after-Behavior/action,Epistemic Rigidity and Distrust in Expertise
87.0,189,131.0,189_lizard_lizard people_clones_clone,"['lizard', 'lizard people', 'clones', 'clone', 'queen', 'earth', 'aliens', 'people real', 'clinton', 'executed']","['They are clones or lizard people.', 'And there are lizard people!', 'lizard people who are -- there, for some reason?', 'That they are lizard people or working with the lizard people.', '(Where are the lizard people pics?)']",Lizard People,3,Conspiracist Beliefs,3-Oon after-Belief,Apocalyptic and Eschatological Narratives
91.0,196,126.0,196_jfk_jr_jfk jr_alive,"['jfk', 'jr', 'jfk jr', 'alive', 'still alive', 'kennedy', 'michael', 'assassination', 'john', 'dead']","['The whole JFK JR being alive too... (And a republican!?', '""Have you heard of JFK Jr?""', 'Some nonsense about JFK Jr being Q himself.', 'What is their fascination with JFK Jr?', 'He believes that JFK Jr. is alive.']",JFK Jr. Being Alive,3,Conspiracist Beliefs,3-Oon after-Belief,Pro-Trump
